angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,mean_W,std_W,mean_uW
0,1.23789214e-05,1.23798727e-05,1.23716163e-05,1.23706623e-05,1.23792379e-05,1.23779673e-05,1.23655818e-05,1.23992468e-05,1.23443033e-05,1.23830487e-05,1.23652644e-05,1.23678055e-05,1.23789214e-05,1.23735217e-05,1.23693926e-05,1.2356054e-05,1.2357641e-05,1.23477976e-05,1.23462087e-05,1.23363634e-05,1.23300115e-05,1.23255659e-05,1.23188956e-05,1.231445e-05,1.23315986e-05,1.22852298e-05,1.23284235e-05,1.23119089e-05,1.2303969e-05,1.23004756e-05,1.22874544e-05,1.22890424e-05,1.22865022e-05,1.22737974e-05,1.22620468e-05,1.2258236e-05,1.22499787e-05,1.22556949e-05,1.22312395e-05,1.22617294e-05,1.22013862e-05,1.223251e-05,1.22312395e-05,1.22223473e-05,1.22166311e-05,1.22102783e-05,1.22166311e-05,1.22023403e-05,1.22071024e-05,1.21918592e-05,1.21950352e-05,1.21823305e-05,1.21848716e-05,1.21670873e-05,1.21629582e-05,1.21581934e-05,1.21569228e-05,1.2146761e-05,1.21518424e-05,1.21365974e-05,1.21407265e-05,1.21108733e-05,1.21442199e-05,1.20857821e-05,1.21010271e-05,1.20829245e-05,1.20829245e-05,1.20679979e-05,1.20733966e-05,1.20527529e-05,1.20603754e-05,1.20368732e-05,1.20371915e-05,1.20232171e-05,1.20346513e-05,1.19917759e-05,1.20352861e-05,1.19724018e-05,1.19965389e-05,1.1979072e-05,1.1979072e-05,1.19755778e-05,1.19485831e-05,1.19568404e-05,1.19390543e-05,1.1951759e-05,1.19307979e-05,1.19219058e-05,1.19079314e-05,1.19034848e-05,1.18872877e-05,1.18926873e-05,1.18647376e-05,1.19003089e-05,1.18698208e-05,1.18647376e-05,1.18596572e-05,1.18450489e-05,1.18501293e-05,1.18317093e-05,1.2161217437e-05,1.693633597317057e-07,12.161217437
1,1.00703428e-05,1.00630377e-05,1.00681191e-05,1.00601783e-05,1.00658954e-05,1.00566849e-05,1.0060814e-05,1.00595435e-05,1.00697071e-05,1.00684356e-05,1.00725647e-05,1.00658954e-05,1.00684356e-05,1.0065578e-05,1.00706593e-05,1.00566849e-05,1.00887619e-05,1.004557e-05,1.00817751e-05,1.00709776e-05,1.00687539e-05,1.00836805e-05,1.0076059e-05,1.00798698e-05,1.00725647e-05,1.00744701e-05,1.00633542e-05,1.00643074e-05,1.00658954e-05,1.0072883e-05,1.00601783e-05,1.00900324e-05,1.00636726e-05,1.00712941e-05,1.00779644e-05,1.00687539e-05,1.00785992e-05,1.00693887e-05,1.00830457e-05,1.0080822e-05,1.0080822e-05,1.00731995e-05,1.00773286e-05,1.00643074e-05,1.00795514e-05,1.00490624e-05,1.00935258e-05,1.00417583e-05,1.00773286e-05,1.0053509e-05,1.00801863e-05,1.00427114e-05,1.00703428e-05,1.00684356e-05,1.00658954e-05,1.00785992e-05,1.0060814e-05,1.00633542e-05,1.00681191e-05,1.00735178e-05,1.00709776e-05,1.00617672e-05,1.00741536e-05,1.00636726e-05,1.00830457e-05,1.00585912e-05,1.00735178e-05,1.00646248e-05,1.00893967e-05,1.00652596e-05,1.01059122e-05,1.00719299e-05,1.00938432e-05,1.00792349e-05,1.00884445e-05,1.00684356e-05,1.00925727e-05,1.00589086e-05,1.00925727e-05,1.00678008e-05,1.00782809e-05,1.00678008e-05,1.0076059e-05,1.00722482e-05,1.0059227e-05,1.00627194e-05,1.00630377e-05,1.00706593e-05,1.00668485e-05,1.00722482e-05,1.0067165e-05,1.00757406e-05,1.00706593e-05,1.00712941e-05,1.00706593e-05,1.00731995e-05,1.00668485e-05,1.00643074e-05,1.00658954e-05,1.00697071e-05,1.0070668861000001e-05,1.072071540431796e-08,10.070668861000001
2,9.26048142e-06,9.25476525e-06,9.25921177e-06,9.25667064e-06,9.25635231e-06,9.25349468e-06,9.25698805e-06,9.25540098e-06,9.25889344e-06,9.2477776e-06,9.27540805e-06,9.25603581e-06,9.26111716e-06,9.26683333e-06,9.26175198e-06,9.27064411e-06,9.26556277e-06,9.27064411e-06,9.25730637e-06,9.25921177e-06,9.26048142e-06,9.26270513e-06,9.25825771e-06,9.25571749e-06,9.25635231e-06,9.25571749e-06,9.25984659e-06,9.25476525e-06,9.25254153e-06,9.24714186e-06,9.24523647e-06,9.24523647e-06,9.24269625e-06,9.25000131e-06,9.24491997e-06,9.2477776e-06,9.24746018e-06,9.25413042e-06,9.25317636e-06,9.2538121e-06,9.25063614e-06,9.25158929e-06,9.23856805e-06,9.26079883e-06,9.24015512e-06,9.25031782e-06,9.2519067e-06,9.25031782e-06,9.25984659e-06,9.25254153e-06,9.25667064e-06,9.25285985e-06,9.25698805e-06,9.25857603e-06,9.25921177e-06,9.25762288e-06,9.25762288e-06,9.25762288e-06,9.25857603e-06,9.25825771e-06,9.26048142e-06,9.26048142e-06,9.26206849e-06,9.24269625e-06,9.26334087e-06,9.24523647e-06,9.25921177e-06,9.23253356e-06,9.25000131e-06,9.25285985e-06,9.25031782e-06,9.25730637e-06,9.25762288e-06,9.25889344e-06,9.25285985e-06,9.24904725e-06,9.24523647e-06,9.25031782e-06,9.24650703e-06,9.24746018e-06,9.24746018e-06,9.25635231e-06,9.24523647e-06,9.26238681e-06,9.23475636e-06,9.26556277e-06,9.24491997e-06,9.24491997e-06,9.25508266e-06,9.25222503e-06,9.25603581e-06,9.25540098e-06,9.26143366e-06,9.25698805e-06,9.2579412e-06,9.2579412e-06,9.26524626e-06,9.23920379e-06,9.25952827e-06,9.24460164e-06,9.2544091603e-06,7.52238350404566e-09,9.2544091603
3,8.95908579e-06,8.96067468e-06,8.95845096e-06,8.96353231e-06,8.95972153e-06,8.9654377e-06,8.9613095e-06,8.96607253e-06,8.95749872e-06,8.95654557e-06,8.95209996e-06,8.9571804e-06,8.95813446e-06,8.95876929e-06,8.95432186e-06,8.95209996e-06,8.95019457e-06,8.94892401e-06,8.94288951e-06,8.96289748e-06,8.93240849e-06,8.95432186e-06,8.95527501e-06,8.94606455e-06,8.95209996e-06,8.95241647e-06,8.95241647e-06,8.94987625e-06,8.94765344e-06,8.94638288e-06,8.94955883e-06,8.95019457e-06,8.95241647e-06,8.94574805e-06,8.95559333e-06,8.95241647e-06,8.95432186e-06,8.95019457e-06,8.95559333e-06,8.95305129e-06,8.94892401e-06,8.93907873e-06,8.96035635e-06,8.93113793e-06,8.96226175e-06,8.9508294e-06,8.95019457e-06,8.95464018e-06,8.95368703e-06,8.95686389e-06,8.95781614e-06,8.95686389e-06,8.95813446e-06,8.95940411e-06,8.95876929e-06,8.9571804e-06,8.95336962e-06,8.96829624e-06,8.94193545e-06,8.96893198e-06,8.95972153e-06,8.96067468e-06,8.9654377e-06,8.96321581e-06,8.9654377e-06,8.96035635e-06,8.96289748e-06,8.96099118e-06,8.96353231e-06,8.95813446e-06,8.95940411e-06,8.95051107e-06,8.95876929e-06,8.94892401e-06,8.96003985e-06,8.9549585e-06,8.96067468e-06,8.94415916e-06,8.97877726e-06,8.96734491e-06,8.96321581e-06,8.96797974e-06,8.95686389e-06,8.96670826e-06,8.95686389e-06,8.96162692e-06,8.94765344e-06,8.95559333e-06,8.94511322e-06,8.95305129e-06,8.95019457e-06,8.95559333e-06,8.9549585e-06,8.95464018e-06,8.9549585e-06,8.96035635e-06,8.95559333e-06,8.95527501e-06,8.95527501e-06,8.95813446e-06,8.9557613143e-06,7.352547120161327e-09,8.9557613143
4,8.73137196e-06,8.72533928e-06,8.73073714e-06,8.72502096e-06,8.73073714e-06,8.72406872e-06,8.72660894e-06,8.72025612e-06,8.72184501e-06,8.72660894e-06,8.72184501e-06,8.72152759e-06,8.73486624e-06,8.73836052e-06,8.73581939e-06,8.74407669e-06,8.7380422e-06,8.74058242e-06,8.73550107e-06,8.73708996e-06,8.73327917e-06,8.73232511e-06,8.73169029e-06,8.73200679e-06,8.73232511e-06,8.73772478e-06,8.72883174e-06,8.73232511e-06,8.73073714e-06,8.73454974e-06,8.73327917e-06,8.73677163e-06,8.72946657e-06,8.73708996e-06,8.73454974e-06,8.73677163e-06,8.73264253e-06,8.73613681e-06,8.7380422e-06,8.7421713e-06,8.74153557e-06,8.73867702e-06,8.74026591e-06,8.73963018e-06,8.73518457e-06,8.73708996e-06,8.73708996e-06,8.74661691e-06,8.74058242e-06,8.73931185e-06,8.74090074e-06,8.74598209e-06,8.74185298e-06,8.74312263e-06,8.74344096e-06,8.73423141e-06,8.74312263e-06,8.73867702e-06,8.74693524e-06,8.73486624e-06,8.74026591e-06,8.73581939e-06,8.7421713e-06,8.73899535e-06,8.74566467e-06,8.74471152e-06,8.75106343e-06,8.75074602e-06,8.75011119e-06,8.74375837e-06,8.74090074e-06,8.74693524e-06,8.74248781e-06,8.75265141e-06,8.74248781e-06,8.75233309e-06,8.74502894e-06,8.74598209e-06,8.74121724e-06,8.74598209e-06,8.74566467e-06,8.75233309e-06,8.75360365e-06,8.75169826e-06,8.75233309e-06,8.75233309e-06,8.72915007e-06,8.75773276e-06,8.74947636e-06,8.73836052e-06,8.74502894e-06,8.73963018e-06,8.7485223e-06,8.74598209e-06,8.74947636e-06,8.74153557e-06,8.74693524e-06,8.74566467e-06,8.75169826e-06,8.74947636e-06,8.739480872500001e-06,8.180098913533111e-09,8.739480872500001
5,8.58305702e-06,8.58178737e-06,8.58083331e-06,8.59480861e-06,8.58845669e-06,8.5824222e-06,8.58432759e-06,8.58210387e-06,8.58083331e-06,8.58083331e-06,8.57702253e-06,8.57670602e-06,8.58210387e-06,8.57607029e-06,8.58686781e-06,8.58115163e-06,8.57956275e-06,8.57543546e-06,8.58083331e-06,8.57321174e-06,8.57321174e-06,8.56908264e-06,8.57702253e-06,8.57575196e-06,8.57353007e-06,8.56844781e-06,8.57162286e-06,8.57162286e-06,8.57225859e-06,8.57067153e-06,8.57098803e-06,8.57448231e-06,8.57575196e-06,8.57702253e-06,8.58210387e-06,8.57829309e-06,8.58432759e-06,8.57924624e-06,8.58178737e-06,8.58718613e-06,8.58400927e-06,8.58178737e-06,8.57956275e-06,8.58591648e-06,8.57765735e-06,8.5827387e-06,8.57702253e-06,8.58210387e-06,8.57448231e-06,8.58337444e-06,8.57956275e-06,8.58369276e-06,8.57892792e-06,8.58178737e-06,8.58051681e-06,8.58559815e-06,8.58591648e-06,8.58813837e-06,8.5887732e-06,8.58750354e-06,8.58115163e-06,8.59988904e-06,8.59067859e-06,8.5865513e-06,8.59417287e-06,8.58686781e-06,8.58813837e-06,8.58432759e-06,8.59321972e-06,8.58813837e-06,8.59449028e-06,8.59099691e-06,8.59258398e-06,8.59194915e-06,8.59544343e-06,8.5929023e-06,8.58972726e-06,8.58623298e-06,8.58305702e-06,8.58464409e-06,8.58845669e-06,8.59607826e-06,8.58845669e-06,8.59353804e-06,8.58718613e-06,8.58972726e-06,8.58464409e-06,8.58972726e-06,8.58813837e-06,8.5865513e-06,8.59099691e-06,8.58972726e-06,8.58686781e-06,8.58813837e-06,8.58686781e-06,8.58845669e-06,8.57924624e-06,8.57956275e-06,8.57480063e-06,8.57702253e-06,8.583212666e-06,6.715550613918868e-09,8.583212666
6,8.49413118e-06,8.49698972e-06,8.50207107e-06,8.49540083e-06,8.50334072e-06,8.49826029e-06,8.50588185e-06,8.50207107e-06,8.50620017e-06,8.49952994e-06,8.50651668e-06,8.50302422e-06,8.50747074e-06,8.49413118e-06,8.50937613e-06,8.50747074e-06,8.50334072e-06,8.5008005e-06,8.49794196e-06,8.49921344e-06,8.49540083e-06,8.49889511e-06,8.48968466e-06,8.5008005e-06,8.49317894e-06,8.5027059e-06,8.49381377e-06,8.50588185e-06,8.500484e-06,8.50524702e-06,8.50365905e-06,8.50810557e-06,8.50334072e-06,8.50556535e-06,8.50461129e-06,8.49952994e-06,8.48587388e-06,8.51191635e-06,8.49698972e-06,8.500484e-06,8.50715242e-06,8.4966714e-06,8.50397646e-06,8.49762455e-06,8.500484e-06,8.49476601e-06,8.49984826e-06,8.50111883e-06,8.51128152e-06,8.506835e-06,8.50905781e-06,8.50556535e-06,8.51445657e-06,8.51223467e-06,8.51445657e-06,8.50492961e-06,8.51350524e-06,8.51064578e-06,8.5109632e-06,8.50842207e-06,8.51477489e-06,8.5109632e-06,8.51445657e-06,8.50937613e-06,8.51445657e-06,8.49921344e-06,8.51604545e-06,8.50334072e-06,8.50429478e-06,8.50111883e-06,8.50334072e-06,8.50778724e-06,8.49603657e-06,8.50556535e-06,8.49794196e-06,8.50175365e-06,8.49921344e-06,8.50302422e-06,8.500484e-06,8.50207107e-06,8.5008005e-06,8.5008005e-06,8.50016568e-06,8.50334072e-06,8.49826029e-06,8.50461129e-06,8.49540083e-06,8.50365905e-06,8.49826029e-06,8.50302422e-06,8.49794196e-06,8.50302422e-06,8.50429478e-06,8.51159984e-06,8.50302422e-06,8.50111883e-06,8.49540083e-06,8.49476601e-06,8.49540083e-06,8.4966714e-06,8.5028015201e-06,5.956831531139344e-09,8.5028015201
7,8.4944495e-06,8.49031949e-06,8.49349544e-06,8.49063781e-06,8.49317894e-06,8.4760286e-06,8.49952994e-06,8.49095522e-06,8.4925432e-06,8.49826029e-06,8.49794196e-06,8.50016568e-06,8.50016568e-06,8.50302422e-06,8.49794196e-06,8.500484e-06,8.49349544e-06,8.500484e-06,8.49730623e-06,8.49921344e-06,8.49540083e-06,8.50334072e-06,8.47412321e-06,8.50747074e-06,8.48523905e-06,8.50937613e-06,8.48142827e-06,8.49349544e-06,8.50334072e-06,8.49349544e-06,8.49826029e-06,8.48936816e-06,8.49984826e-06,8.49031949e-06,8.49286062e-06,8.4823796e-06,8.49190837e-06,8.48746276e-06,8.49222579e-06,8.48714444e-06,8.49222579e-06,8.49286062e-06,8.49921344e-06,8.49698972e-06,8.49603657e-06,8.48904983e-06,8.49730623e-06,8.4925432e-06,8.49698972e-06,8.49190837e-06,8.49540083e-06,8.48777927e-06,8.48809759e-06,8.48809759e-06,8.49127355e-06,8.48746276e-06,8.48904983e-06,8.47825231e-06,8.48777927e-06,8.48777927e-06,8.48777927e-06,8.48619038e-06,8.48936816e-06,8.48619038e-06,8.48619038e-06,8.49063781e-06,8.48555555e-06,8.49063781e-06,8.48746276e-06,8.49540083e-06,8.4944495e-06,8.50016568e-06,8.4944495e-06,8.5008005e-06,8.49317894e-06,8.49952994e-06,8.49063781e-06,8.49571916e-06,8.49000298e-06,8.49540083e-06,8.48777927e-06,8.4966714e-06,8.48619038e-06,8.49063781e-06,8.48904983e-06,8.49381377e-06,8.49063781e-06,8.49794196e-06,8.49571916e-06,8.50143533e-06,8.49159005e-06,8.49826029e-06,8.49286062e-06,8.49635489e-06,8.49317894e-06,8.49857679e-06,8.4944495e-06,8.4966714e-06,8.48714444e-06,8.49222579e-06,8.4930514273e-06,6.0409196268360164e-09,8.4930514273
8,8.56590668e-06,8.5865513e-06,8.55796679e-06,8.57289342e-06,8.57797568e-06,8.57416489e-06,8.57289342e-06,8.57257692e-06,8.57797568e-06,8.56717725e-06,8.57321174e-06,8.57448231e-06,8.58400927e-06,8.57416489e-06,8.57416489e-06,8.56781207e-06,8.56908264e-06,8.56431961e-06,8.57257692e-06,8.56940096e-06,8.57765735e-06,8.56685983e-06,8.57194118e-06,8.56559018e-06,8.57765735e-06,8.56463612e-06,8.57448231e-06,8.56654151e-06,8.56527186e-06,8.56908264e-06,8.56940096e-06,8.56400129e-06,8.56685983e-06,8.57003579e-06,8.57162286e-06,8.56622501e-06,8.57162286e-06,8.57225859e-06,8.56940096e-06,8.55510916e-06,8.57861141e-06,8.55637973e-06,8.58559815e-06,8.55574399e-06,8.57194118e-06,8.57289342e-06,8.57067153e-06,8.57353007e-06,8.56781207e-06,8.57098803e-06,8.57194118e-06,8.57384657e-06,8.5703532e-06,8.57416489e-06,8.56781207e-06,8.56717725e-06,8.55891994e-06,8.56971747e-06,8.54907466e-06,8.57892792e-06,8.54748578e-06,8.56940096e-06,8.56304905e-06,8.56146107e-06,8.56685983e-06,8.56781207e-06,8.57448231e-06,8.56749557e-06,8.57797568e-06,8.57098803e-06,8.58400927e-06,8.57448231e-06,8.58210387e-06,8.57670602e-06,8.57543546e-06,8.56971747e-06,8.57130635e-06,8.56559018e-06,8.56908264e-06,8.56940096e-06,8.56146107e-06,8.57194118e-06,8.56908264e-06,8.57384657e-06,8.57003579e-06,8.57892792e-06,8.57162286e-06,8.57607029e-06,8.57321174e-06,8.57734085e-06,8.57098803e-06,8.57575196e-06,8.5763877e-06,8.58083331e-06,8.57765735e-06,8.58178737e-06,8.56336646e-06,8.57924624e-06,8.55796679e-06,8.58909152e-06,8.5709313222e-06,7.268173650165826e-09,8.5709313222
9,8.71898555e-06,8.71168231e-06,8.7278795e-06,8.69897849e-06,8.71390512e-06,8.70977692e-06,8.70882377e-06,8.71199973e-06,8.70628264e-06,8.71517477e-06,8.70787062e-06,8.71644534e-06,8.70723488e-06,8.71517477e-06,8.70501299e-06,8.70977692e-06,8.70660006e-06,8.71168231e-06,8.70660006e-06,8.71009433e-06,8.70151871e-06,8.70755321e-06,8.70914209e-06,8.70818894e-06,8.70787062e-06,8.70501299e-06,8.70532949e-06,8.72279816e-06,8.69135602e-06,8.71009433e-06,8.70723488e-06,8.71041266e-06,8.71930388e-06,8.71263455e-06,8.71485827e-06,8.71422344e-06,8.71644534e-06,8.71390512e-06,8.71581051e-06,8.71326938e-06,8.71326938e-06,8.70691838e-06,8.71962129e-06,8.69897849e-06,8.73581939e-06,8.72216333e-06,8.72247983e-06,8.72946657e-06,8.72406872e-06,8.72978489e-06,8.72565579e-06,8.733914e-06,8.7278795e-06,8.73041972e-06,8.72915007e-06,8.73169029e-06,8.72915007e-06,8.73518457e-06,8.73454974e-06,8.73613681e-06,8.73232511e-06,8.73677163e-06,8.7301014e-06,8.7380422e-06,8.73296085e-06,8.73105546e-06,8.72978489e-06,8.7301014e-06,8.73581939e-06,8.72756118e-06,8.73073714e-06,8.72724468e-06,8.73454974e-06,8.73041972e-06,8.72724468e-06,8.71644534e-06,8.72247983e-06,8.72502096e-06,8.72216333e-06,8.72819601e-06,8.72216333e-06,8.7237504e-06,8.72184501e-06,8.72025612e-06,8.72216333e-06,8.71803422e-06,8.70278927e-06,8.72915007e-06,8.72565579e-06,8.72057444e-06,8.72565579e-06,8.71866905e-06,8.72692635e-06,8.71930388e-06,8.71898555e-06,8.71485827e-06,8.71898555e-06,8.7154931e-06,8.71898555e-06,8.71422344e-06,8.7193073795e-06,1.0229641308780748e-08,8.7193073795
10,8.9038258e-06,8.9162113e-06,8.90668434e-06,8.91335276e-06,8.90731917e-06,8.91589298e-06,8.90446063e-06,8.91049513e-06,8.90827141e-06,8.90763658e-06,8.90573119e-06,8.90509546e-06,8.90192041e-06,8.90319006e-06,8.89937928e-06,8.90477713e-06,8.90827141e-06,8.90033152e-06,8.91112995e-06,8.90319006e-06,8.91208219e-06,8.90446063e-06,8.90954198e-06,8.90573119e-06,8.90700085e-06,8.90287174e-06,8.90954198e-06,8.90509546e-06,8.91144737e-06,8.91240052e-06,8.91748186e-06,8.90763658e-06,8.91367108e-06,8.90731917e-06,8.91748186e-06,8.90954198e-06,8.91335276e-06,8.90192041e-06,8.90827141e-06,8.90731917e-06,8.91367108e-06,8.90795491e-06,8.91462332e-06,8.91335276e-06,8.91907075e-06,8.91494165e-06,8.91970558e-06,8.91240052e-06,8.91811669e-06,8.90700085e-06,8.91430591e-06,8.90319006e-06,8.91208219e-06,8.90700085e-06,8.90890624e-06,8.90446063e-06,8.9222458e-06,8.90064985e-06,8.92986827e-06,8.89937928e-06,8.92732714e-06,8.91589298e-06,8.91335276e-06,8.91716354e-06,8.91875243e-06,8.91748186e-06,8.91494165e-06,8.91144737e-06,8.91271793e-06,8.91144737e-06,8.91462332e-06,8.90573119e-06,8.91907075e-06,8.91208219e-06,8.91716354e-06,8.9222458e-06,8.91811669e-06,8.92510343e-06,8.91938726e-06,8.92637399e-06,8.91938726e-06,8.93113793e-06,8.92097614e-06,8.92383378e-06,8.9101768e-06,8.91748186e-06,8.91303625e-06,8.91970558e-06,8.91271793e-06,8.91335276e-06,8.90890624e-06,8.91398759e-06,8.91398759e-06,8.91494165e-06,8.91240052e-06,8.92256321e-06,8.91271793e-06,8.92256321e-06,8.91240052e-06,8.92161097e-06,8.9124257286e-06,6.843160524045693e-09,8.9124257286
11,9.1864822e-06,9.22141771e-06,9.17504894e-06,9.20934872e-06,9.17441412e-06,9.21188894e-06,9.18457681e-06,9.21157243e-06,9.19410559e-06,9.2131595e-06,9.18934074e-06,9.20109142e-06,9.19410559e-06,9.21061928e-06,9.17568468e-06,9.20204548e-06,9.18616479e-06,9.19410559e-06,9.18997557e-06,9.19346985e-06,9.19061131e-06,9.1922002e-06,9.18838759e-06,9.1922002e-06,9.19601098e-06,9.19346985e-06,9.19410559e-06,9.18902424e-06,9.19664581e-06,9.18902424e-06,9.19950344e-06,9.19823287e-06,9.20331513e-06,9.19569266e-06,9.19918602e-06,9.1922002e-06,9.19601098e-06,9.19283502e-06,9.18902424e-06,9.19156446e-06,9.19283502e-06,9.19410559e-06,9.19664581e-06,9.19918602e-06,9.19664581e-06,9.19696231e-06,9.18838759e-06,9.19283502e-06,9.19601098e-06,9.19918602e-06,9.20140974e-06,9.21093761e-06,9.19315153e-06,9.21157243e-06,9.17377929e-06,9.20331513e-06,9.18394107e-06,9.20172715e-06,9.18838759e-06,9.19823287e-06,9.19728063e-06,9.19950344e-06,9.18934074e-06,9.21188894e-06,9.17314355e-06,9.20077309e-06,9.19950344e-06,9.19315153e-06,9.19918602e-06,9.19156446e-06,9.19601098e-06,9.19505692e-06,9.20903221e-06,9.19982176e-06,9.21061928e-06,9.19569266e-06,9.20077309e-06,9.20204548e-06,9.20934872e-06,9.20934872e-06,9.21220726e-06,9.20236198e-06,9.20712682e-06,9.20204548e-06,9.20712682e-06,9.21188894e-06,9.21601895e-06,9.20458569e-06,9.20839648e-06,9.2068085e-06,9.20236198e-06,9.19601098e-06,9.20966704e-06,9.1864822e-06,9.2068085e-06,9.1925167e-06,9.21982974e-06,9.1842594e-06,9.21601895e-06,9.18902424e-06,9.1978174987e-06,9.996433323687916e-09,9.197817498700001
12,9.56505301e-06,9.56505301e-06,9.55997166e-06,9.56632357e-06,9.55742962e-06,9.56536951e-06,9.5609239e-06,9.56981603e-06,9.56791064e-06,9.56791064e-06,9.57172233e-06,9.56918029e-06,9.55806536e-06,9.56600525e-06,9.56028907e-06,9.57553402e-06,9.54726784e-06,9.58220153e-06,9.5609239e-06,9.55933683e-06,9.56568783e-06,9.55774794e-06,9.57013435e-06,9.56028907e-06,9.56282929e-06,9.55774794e-06,9.56251279e-06,9.56441818e-06,9.56632357e-06,9.56187705e-06,9.56822896e-06,9.54345614e-06,9.5752157e-06,9.55806536e-06,9.56346412e-06,9.57267457e-06,9.56822896e-06,9.57807424e-06,9.5752157e-06,9.57997963e-06,9.58188502e-06,9.57966131e-06,9.58061446e-06,9.57807424e-06,9.54949155e-06,9.57775592e-06,9.54345614e-06,9.58379042e-06,9.55457199e-06,9.56536951e-06,9.57203974e-06,9.56568783e-06,9.57743941e-06,9.56759322e-06,9.57680368e-06,9.57553402e-06,9.58061446e-06,9.57394514e-06,9.57489829e-06,9.57045086e-06,9.56886379e-06,9.57362863e-06,9.57267457e-06,9.57076918e-06,9.57172233e-06,9.57426346e-06,9.57045086e-06,9.57299289e-06,9.57394514e-06,9.56791064e-06,9.57553402e-06,9.5548894e-06,9.59077715e-06,9.54822099e-06,9.57489829e-06,9.56378244e-06,9.57045086e-06,9.55997166e-06,9.55774794e-06,9.56505301e-06,9.55901851e-06,9.56632357e-06,9.55774794e-06,9.5672749e-06,9.56155873e-06,9.56378244e-06,9.55965334e-06,9.56282929e-06,9.55901851e-06,9.55330233e-06,9.55361884e-06,9.55774794e-06,9.55870109e-06,9.57045086e-06,9.53742165e-06,9.56664007e-06,9.56536951e-06,9.55870109e-06,9.56759322e-06,9.55584255e-06,9.5661928024e-06,9.357482422779175e-09,9.5661928024
13,1.00122224e-05,9.98713222e-06,1.00198449e-05,9.98205087e-06,1.00223851e-05,1.00001535e-05,1.00017423e-05,9.99761323e-06,1.00080933e-05,1.00033294e-05,1.00023772e-05,1.00049183e-05,1.00049183e-05,9.99189706e-06,9.99793156e-06,1.00011066e-05,9.99666099e-06,1.00099987e-05,1.00055531e-05,1.00103171e-05,1.00125399e-05,1.00147636e-05,1.00074585e-05,1.00087291e-05,1.00115876e-05,1.00223851e-05,9.99983695e-06,1.00328662e-05,9.98713222e-06,1.00373118e-05,9.99348413e-06,1.00207981e-05,1.00055531e-05,1.0013493e-05,1.00077768e-05,1.00144453e-05,1.00217503e-05,1.00122224e-05,1.00201632e-05,1.00074585e-05,1.00198449e-05,1.00046e-05,1.00049183e-05,9.99729582e-06,1.00049183e-05,1.00096822e-05,1.00150801e-05,1.00071402e-05,1.00077768e-05,1.00074585e-05,1.00080933e-05,1.00096822e-05,1.00023772e-05,1.00026946e-05,1.00055531e-05,9.99443728e-06,1.00201632e-05,9.98173255e-06,1.00331845e-05,9.98586165e-06,1.00325487e-05,9.98713222e-06,1.00265142e-05,9.9969775e-06,1.00236557e-05,9.98999167e-06,1.00103171e-05,1.00125399e-05,1.00176212e-05,9.99951862e-06,1.00277848e-05,9.99951862e-06,1.00068237e-05,1.00150801e-05,1.00071402e-05,1.0018256e-05,9.99729582e-06,1.00046e-05,1.00068237e-05,1.00074585e-05,1.00007883e-05,1.00023772e-05,9.99983695e-06,1.0013493e-05,9.99538952e-06,1.00220686e-05,9.98109772e-06,1.00207981e-05,1.00033294e-05,1.00077768e-05,1.00109528e-05,1.00001535e-05,1.00071402e-05,1.00061879e-05,1.00112693e-05,1.00106345e-05,1.00103171e-05,1.00106345e-05,1.00119041e-05,1.00071402e-05,1.00075538457e-05,1.1177345866581168e-08,10.0075538457
